,y_true,y_pred
0,3.5,3.4479816
1,4.0,3.517902
2,4.0,4.311902
3,3.5,3.4873173
4,3.5,3.4033525
5,3.5,3.6738017
6,4.0,3.7391484
7,3.5,4.0351553
8,4.0,3.4244285
9,4.0,3.7140505
10,4.0,3.8225076
11,3.5,3.525339
12,3.5,3.2979147
13,3.5,3.674349
14,3.5,3.648791
15,3.0,3.2832553
16,4.0,3.9283254
17,3.5,3.4642847
18,4.0,3.8741934
19,3.5,2.8279517
20,3.5,3.514755
21,4.0,4.0623517
22,3.5,3.6679528
23,4.0,3.752026
24,3.5,3.9837794
25,4.0,3.7910814
26,3.0,3.663326
27,3.5,3.850321
28,3.5,3.992237
29,3.5,3.7793937
30,4.0,3.7232287
31,4.0,3.5011263
32,4.0,3.874431
33,3.5,4.324266
34,4.0,3.721896
35,5.0,3.8330333
36,5.0,4.7490296
37,2.0,3.2380745
38,5.0,3.4779127
39,2.0,3.4362965
40,2.0,3.3290405
41,4.0,4.012459
42,5.0,4.6251903
43,5.0,4.064477
44,4.0,3.5589144
45,3.0,4.021616
46,5.0,4.0614953
47,5.0,4.497752
48,5.0,4.634709
49,5.0,4.6333036
50,4.0,4.358671
51,3.0,4.6077085
52,4.0,4.8131595
53,5.0,3.962176
54,3.0,4.257456
55,3.0,3.925353
56,4.0,4.104932
57,5.0,4.480058
58,4.0,4.0688524
59,5.0,4.6475477
60,3.0,3.5546746
61,4.0,3.5532348
62,5.0,4.3859816
63,4.0,4.1851783
64,4.0,3.9851382
65,3.0,4.0209794
66,4.0,4.5360284
67,5.0,3.7154334
68,4.0,4.310157
69,4.0,4.419576
70,5.0,4.7133803
71,5.0,4.6991773
72,3.0,4.254964
73,5.0,4.719817
74,5.0,3.8996634
75,5.0,3.9767642
76,3.0,4.394977
77,5.0,4.970382
78,4.0,4.3203073
79,4.0,4.321729
80,4.0,4.5596867
81,4.0,4.5238814
82,5.0,3.6660357
83,4.0,4.6308236
84,5.0,4.0619283
85,4.0,3.4965067
86,3.0,3.617778
87,3.0,3.8588579
88,4.0,3.761776
89,1.0,4.2361913
90,5.0,4.016414
91,4.0,3.790477
92,3.0,4.820447
93,5.0,4.520067
94,4.0,4.0768957
95,3.0,4.551239
96,5.0,5.0
97,5.0,4.127653
98,5.0,4.476733
99,4.0,4.4109154
100,5.0,5.0
101,5.0,5.0
102,5.0,4.557987
103,4.0,4.244512
104,2.0,4.4045253
105,4.0,4.6424236
106,4.0,3.988918
107,5.0,3.415541
108,4.0,3.2065961
109,5.0,3.4985678
110,5.0,3.3413246
111,4.0,3.0992332
112,3.0,3.2865252
113,4.0,2.99008
114,1.0,3.2488291
115,2.0,2.9386156
116,3.0,3.019095
117,2.0,3.4056919
118,3.0,3.3897007
119,4.0,3.511884
120,4.0,3.4585326
121,2.0,2.8538141
122,2.0,3.2786012
123,3.0,3.6337137
124,4.0,3.719025
125,4.0,3.1632183
126,3.0,3.2665238
127,3.0,2.9813316
128,4.0,3.461212
129,4.0,3.3504739
130,2.0,3.6685174
131,4.0,3.3740358
132,3.0,3.1530468
133,4.0,3.566961
134,4.0,3.405589
135,3.0,3.0508416
136,5.0,4.0224304
137,3.0,3.1364186
138,4.0,3.045283
139,4.0,3.137892
140,5.0,3.0850914
141,5.0,3.1850998
142,3.0,2.9615252
143,5.0,3.7952032
144,4.0,3.1305866
145,5.0,3.5935118
146,4.0,3.2842245
147,3.0,3.1368296
148,3.0,3.099969
149,3.0,3.4512217
150,3.0,3.439802
151,5.0,3.530083
152,4.0,3.063111
153,2.0,3.035187
154,3.0,2.8822782
155,3.0,3.377795
156,3.0,3.0667107
157,4.0,3.3270628
158,3.0,3.332092
159,3.0,3.214687
160,3.0,3.0483253
161,3.0,3.3124714
162,4.0,3.9777415
163,4.0,3.0018106
164,3.0,3.0439398
165,4.0,3.161319
166,4.0,2.7594821
167,4.0,3.571596
168,3.0,3.7956653
169,3.0,3.22243
170,3.0,3.73189
171,5.0,4.292728
172,5.0,3.5718188
173,4.0,3.7345326
174,1.0,2.8368692
175,4.0,3.289498
176,4.0,3.482361
177,4.0,3.6878664
178,4.0,3.4787946
179,4.0,3.5844145
180,4.0,3.6725504
181,3.0,2.324825
182,2.0,1.8454745
183,3.0,2.3185484
184,2.0,3.1938431
185,4.0,3.498215
186,2.0,2.2904513
187,2.0,1.8584118
188,3.0,3.846399
189,3.0,3.5520074
190,4.0,3.972304
191,4.0,3.4768946
192,4.0,2.7505796
193,5.0,4.1066136
194,5.0,4.128555
195,4.0,3.7258956
196,2.5,3.5782115
197,4.0,4.0542965
198,4.5,3.9144475
199,3.0,3.3920524
200,3.5,3.1229331
