epoch,train_loss,val_loss
0,8.387039599090345,5.542702598062276
1,2.31926516740988,1.1548977480034583
2,1.110673645493916,1.1109253410261892
3,1.1066357736184615,1.1111298668664837
4,1.106184047764992,1.1120058922281808
5,1.1052347288382942,1.1129435457227284
6,1.1039286807078925,1.114851246930551
7,1.1020721130751956,1.1151267465821293
8,1.099717677456489,1.1180243286723068
9,1.0966050240949792,1.11992941440696
10,1.0961063003588538,1.1208537833923657
11,1.0957610281520405,1.121284967706664
12,1.0954094459265324,1.121620191341017
